"ID","X","Y","Date","OCSKGM","Source","type","top","bottom"
"1514",-59.132815,-28.967296,1970-02-18 00:00:00,3.69956611500856,"sisINTA","SP",0,30
"1519",-59.920833,-35.068333,1968-04-01 00:00:00,10.8409493351126,"sisINTA","SP",0,30
"1524",-62.3136,-33.6333,1971-12-10 00:00:00,8.14801231557108,"sisINTA","SP",0,30
"1525",-59.724444,-35.140833,1967-04-19 00:00:00,6.63899660487454,"sisINTA","SP",0,30
"1531",-62.5725,-33.6189,1972-03-23 00:00:00,6.092526798049,"sisINTA","SP",0,30
"1534",-64.3653,-34.5436,1976-12-02 00:00:00,3.59700017218955,"sisINTA","SP",0,30
"1535",-64.2031,-32.1911,2006-10-25 00:00:00,3.97893104326626,"sisINTA","SP",0,30
"1537",-63.13,-31.3639,1975-11-24 00:00:00,4.90810500718767,"sisINTA","SP",0,30
"1540",-56.689694,-27.487159,1980-01-22 00:00:00,7.95705593445438,"sisINTA","SP",0,30
"1543",-63.2992,-32.3522,1978-05-30 00:00:00,5.14859543362658,"sisINTA","SP",0,30
"1545",-61.9333,-32.5667,1970-02-18 00:00:00,8.33685581682545,"sisINTA","SP",0,30
"1551",-59.486667,-35.144722,1967-11-02 00:00:00,12.4082158998684,"sisINTA","SP",0,30
"1560",-59.447546,-30.147707,1972-11-23 00:00:00,8.62196388730163,"sisINTA","SP",0,30
"1568",-58.070528,-30.357142,1982-05-14 00:00:00,7.47138692317438,"sisINTA","SP",0,30
"1569",-63.2456,-33.54,1986-11-02 00:00:00,4.91945763724973,"sisINTA","SP",0,30
"1570",-56.070765,-27.389752,1982-01-23 00:00:00,8.9735614947208,"sisINTA","SP",0,30
"1571",-58.724526,-27.55837,1981-12-02 00:00:00,16.6117713088338,"sisINTA","SP",0,30
"1574",-59.165272,-30.211983,1972-12-14 00:00:00,2.54422531828022,"sisINTA","SP",0,30
"1575",-56.311134,-27.938935,1982-02-17 00:00:00,3.22110983833783,"sisINTA","SP",0,30
"1578",-59.168806,-32.017275,1994-07-26 00:00:00,12.5438659901008,"sisINTA","SP",0,30
"1579",-59.152294,-32.068125,1994-07-27 00:00:00,12.898593883975,"sisINTA","SP",0,30
"1581",-58.278992,-30.324289,1971-12-08 00:00:00,8.5209172681605,"sisINTA","SP",0,30
