"ID","X","Y","Date","OCSKGM","Source","type","top","bottom","OCSKGM2015","OCSKGM2014","OCSKGM2013","OCSKGM2012","OCSKGM2011","OCSKGM2010","OCSKGM2009","OCSKGM2008","OCSKGM2007","OCSKGM2006","OCSKGM2005","optional"
"1792",-59.307464,-29.220501,1970-06-16,1.61630659833713,"sisINTA","SP",0,30,1.61630659833713,1.61630659833713,1.61630659833713,1.61630659833713,1.61630659833713,1.61630659833713,1.61630659833713,1.61630659833713,1.61630659833713,1.61630659833713,1.61630659833713,TRUE
"1793",-59.368536,-29.795168,1973-01-23,7.49882360679423,"sisINTA","SP",0,30,7.49882360679423,7.49882360679423,7.49882360679423,7.49882360679423,7.49882360679423,7.49882360679423,7.49882360679423,7.49882360679423,7.49882360679423,7.49882360679423,7.49882360679423,TRUE
"1794",-59.3768,-29.686767,1972-07-20,1.26763379229118,"sisINTA","SP",0,30,1.26763379229118,1.26763379229118,1.26763379229118,1.26763379229118,1.26763379229118,1.26763379229118,1.26763379229118,1.26763379229118,1.26763379229118,1.26763379229118,1.26763379229118,TRUE
"1795",-59.349004,-29.373897,1970-06-10,4.37226159136916,"sisINTA","SP",0,30,4.37226159136916,4.37226159136916,4.37226159136916,4.37226159136916,4.37226159136916,4.37226159136916,4.37226159136916,4.37226159136916,4.37226159136916,4.37226159136916,4.37226159136916,TRUE
"1798",-59.405376,-30.21715,1972-12-13,5.18367069178553,"sisINTA","SP",0,30,5.18367069178553,5.18367069178553,5.18367069178553,5.18367069178553,5.18367069178553,5.18367069178553,5.18367069178553,5.18367069178553,5.18367069178553,5.18367069178553,5.18367069178553,TRUE
"1800",-59.259675,-30.213825,1973-10-04,4.79796139843797,"sisINTA","SP",0,30,4.79796139843797,4.79796139843797,4.79796139843797,4.79796139843797,4.79796139843797,4.79796139843797,4.79796139843797,4.79796139843797,4.79796139843797,4.79796139843797,4.79796139843797,TRUE
"1801",-58.892133,-29.634292,1972-11-23,5.67958441218225,"sisINTA","SP",0,30,5.67958441218225,5.67958441218225,5.67958441218225,5.67958441218225,5.67958441218225,5.67958441218225,5.67958441218225,5.67958441218225,5.67958441218225,5.67958441218225,5.67958441218225,TRUE
"1802",-63.32,-32.5392,1977-08-19,5.30528467877571,"sisINTA","SP",0,30,4.43341419466571,4.43341419466571,4.43341419466571,4.43341419466571,4.43341419466571,4.43341419466571,4.43341419466571,4.43341419466571,4.43341419466571,4.43341419466571,4.43341419466571,TRUE
"1803",-59.415546,-30.211593,1973-02-25,9.46271837131835,"sisINTA","SP",0,30,9.46271837131835,9.46271837131835,9.46271837131835,9.46271837131835,9.46271837131835,9.46271837131835,9.46271837131835,9.46271837131835,9.46271837131835,9.46271837131835,9.46271837131835,TRUE
"1804",-58.93816,-29.620206,1972-11-23,8.2951024598178,"sisINTA","SP",0,30,8.2951024598178,8.2951024598178,8.2951024598178,8.2951024598178,8.2951024598178,8.2951024598178,8.2951024598178,8.2951024598178,8.2951024598178,8.2951024598178,8.2951024598178,TRUE
"1805",-56.935987,-27.700231,1982-05-26,10.2612414329394,"sisINTA","SP",0,30,10.2612414329394,10.2612414329394,10.2612414329394,10.2612414329394,10.2612414329394,10.2612414329394,10.2612414329394,10.2612414329394,10.2612414329394,10.2612414329394,10.2612414329394,TRUE
"1806",-64.3928,-32.8761,1985-05-23,5.28537161051165,"sisINTA","SP",0,30,3.72017751788956,3.72017751788956,3.72017751788956,3.72017751788956,3.72017751788956,3.72017751788956,3.72017751788956,3.72017751788956,3.72017751788956,3.72017751788956,3.72017751788956,TRUE
"1808",-57.636181,-29.250506,1986-06-13,4.95755766003819,"sisINTA","SP",0,30,4.95755766003819,4.95755766003819,4.95755766003819,4.95755766003819,4.95755766003819,4.95755766003819,4.95755766003819,4.95755766003819,4.95755766003819,4.95755766003819,4.95755766003819,TRUE
"1810",-59.376389,-33.966667,1965-10-08,8.25779664046291,"sisINTA","SP",0,30,7.92748477484439,7.92748477484439,7.92748477484439,7.92748477484439,7.92748477484439,7.92748477484439,7.92748477484439,7.92748477484439,7.92748477484439,7.92748477484439,7.92748477484439,TRUE
"1814",-62.2931,-33.1433,1970-07-15,7.68298376388453,"sisINTA","SP",0,30,7.24874152154978,7.24874152154978,7.24874152154978,7.24874152154978,7.24874152154978,7.24874152154978,7.24874152154978,7.24874152154978,7.24874152154978,7.24874152154978,7.24874152154978,TRUE
"1815",-60.258044,-32.327637,1993-12-10,11.1196676181396,"sisINTA","SP",0,30,9.29659811214561,9.29659811214561,9.29659811214561,9.29659811214561,9.21320060500956,9.12980309787352,9.04640559073747,8.96300808360142,8.87961057646538,8.99442114462267,9.10923171277996,TRUE
"1816",-60.24032,-32.336572,1993-12-17,11.1065238668484,"sisINTA","SP",0,30,9.2856092788786,9.2856092788786,9.2856092788786,9.2856092788786,9.20231034987724,9.11901142087588,9.03571249187451,8.95241356287315,8.86911463387179,8.983789492797,9.09846435172221,TRUE
"1817",-60.299648,-32.447902,1995-06-07,10.5455468150914,"sisINTA","SP",0,30,9.30169956825137,9.30169956825137,9.22260796713818,9.143516366025,9.06442476491181,8.98533316379863,8.90624156268544,8.82714996157226,8.74805836045907,8.85694113132489,8.96582390219071,TRUE
"1818",-60.182671,-32.433724,1995-06-07,10.9579371396779,"sisINTA","SP",0,30,9.66544845405289,9.66544845405289,9.58326392550531,9.50107939695772,9.41889486841014,9.33671033986255,9.25452581131497,9.17234128276739,9.0901567542198,9.20329745518698,9.31643815615415,TRUE
"1819",-60.18083,-32.438154,1995-06-07,7.50509303699146,"sisINTA","SP",0,30,6.61986731327832,6.61986731327832,6.56357911550088,6.50729091772345,6.45100271994601,6.39471452216857,6.33842632439114,6.2821381266137,6.22584992883626,6.3033400144432,6.38083010005014,TRUE
"1820",-60.169103,-32.436114,1995-06-08,10.6934226540463,"sisINTA","SP",0,30,9.43213345200154,9.43213345200154,9.35193278209619,9.27173211219084,9.1915314422855,9.11133077238015,9.0311301024748,8.95092943256945,8.87072876266411,8.98113835156714,9.09154794047016,TRUE
